Village Panchayat & Equivalent,Receipts,Payments
,,
AFZALPUR,"26,65,096.00","25,38,423.00"
,,
AGRAULA,"41,26,974.17","30,93,639.80"
,,
ALLIPURNORASPUR,"46,89,176.00","37,63,954.00"
,,
ASALATPURFARAKHNAGAR,"1,71,99,630.82","1,43,70,107.00"
,,
AURANGABADRISTAL,"57,85,332.12","38,13,315.00"
,,
BADARPUR,"42,79,684.00","34,44,911.00"
,,
BANTHLA,"60,17,083.50","43,42,028.30"
,,
BHANERAKHURD,"15,43,663.61","11,73,904.00"
,,
CHIRORI,"1,66,88,346.40","1,58,20,200.40"
,,
GANAULI,"46,16,457.00","30,49,643.00"
,,
HAQIQATPURURFKHUDAWAS,"1,39,96,818.00","91,30,675.00"
,,
ILAICHIPUR,"1,90,11,893.80","1,49,19,916.00"
,,
JAVLI,"76,83,504.16","61,20,397.00"
,,
KHANPURJAPTI,"35,39,311.20","23,77,715.50"
,,
KOTWALPUR,"11,13,166.89","8,46,255.89"
,,
MADAULA,"1,41,77,515.00","1,10,42,985.00"
,,
MAHMOODPUR,"18,76,834.14","13,78,720.68"
,,
MEWALABHATTI,"33,86,044.13","29,67,910.00"
,,
MIRPURHINDU,"37,92,624.00","25,79,004.00"
,,
MURTAZABADBHOOPKHERI,"31,61,042.50","28,63,630.00"
,,
NANU,"25,57,419.24","21,01,901.00"
,,
NISTAULI,"66,49,633.00","58,15,301.00"
,,
NITHAURA,"29,22,206.09","17,56,698.00"
,,
NURSTABADKHARKHARI,"26,07,174.45","17,07,694.50"
,,
PANCHAYARA,"16,81,459.69","7,73,341.20"
,,
SADABADDUGRAVALI,"39,85,680.60","36,65,833.55"
,,
SHAKALPURA,"33,19,515.07","28,04,308.83"
,,
SHARIFABADRAJAPUR,"36,99,601.50","30,20,676.00"
,,
SIKHRANI,"25,28,742.30","17,90,599.00"
,,
SIRAULI,"74,29,564.94","65,69,731.00"
,,
SIRORASALEMPUR,"18,14,315.09","13,05,839.00"
,,
TILASHAHBAZPUR,"1,32,19,677.98","1,05,14,890.00"
,,
Total,"19,17,65,187.39","15,14,64,147.65"
