Village Panchayat & Equivalent,Receipts,Payments
,,
ABUPUR,"43,20,462.24","35,68,885.00"
,,
ASADPURNAGAL,"12,87,730.41","7,98,136.00"
,,
ASALATNAGAR,"1,41,48,671.20","98,48,590.58"
,,
ASIFPURUJAIRA,"34,21,376.48","25,38,440.58"
,,
BANDIPUR,"13,30,056.99","10,47,771.40"
,,
BARAKAARIFPUR,"29,40,974.69","18,92,296.00"
,,
BASANTPURSAITLI,"48,07,435.72","17,32,014.00"
,,
BHADAULI,"40,54,494.76","36,27,929.70"
,,
BHANAIRA,"23,28,520.10","17,01,722.00"
,,
DABANA,"57,46,335.65","49,10,502.64"
,,
DIDAULI,"30,07,081.04","18,81,185.00"
,,
FIROZPUR,"13,41,493.04","9,33,014.00"
,,
GYASPUR,"55,44,586.19","43,99,575.00"
,,
HUSAINPUR,"40,86,525.20","36,08,950.00"
,,
JALALPURDINDHAL,"40,18,077.24","34,20,970.00"
,,
JALALPURRAGHUNATHPUR,"60,75,178.34","51,97,096.02"
,,
JHALAWA,"27,66,375.50","17,57,160.00"
,,
KAKRA,"14,22,795.50","8,92,104.65"
,,
KHARJIVANPURKHIMAWATI,"33,92,439.85","20,13,402.00"
,,
KHINDAURA,"47,61,071.06","35,27,452.00"
,,
KHORAJPURBIHANG,"42,15,425.38","24,57,363.40"
,,
KHURRAMPUR,"25,13,300.42","17,31,710.00"
,,
KUMHAIDA,"38,05,614.82","29,69,151.00"
,,
KUNHAIDA,"15,00,628.98","11,61,473.00"
,,
MANAULI,"32,22,018.69","27,55,957.00"
,,
MATAUR,"16,78,733.84","11,97,694.00"
,,
MILAKCHAKARPUR,"20,86,653.24","15,99,732.70"
,,
MILAKRAVALI,"10,72,083.68","6,31,440.00"
,,
MOHAMMADPURDWEDHA,"38,06,087.25","30,02,494.00"
,,
MOHAMMADPURKADIM,"29,93,771.95","24,84,417.00"
,,
MUHIUDDINPURHISAULI,"40,32,533.15","32,75,520.00"
,,
MURADGAMPURPURSI,"50,97,932.00","39,06,119.00"
,,
NAGLAAKKHU,"9,09,300.70","6,44,086.00"
,,
NEKPURSABITNAGAR,"43,01,444.66","27,34,951.70"
,,
PAINGA,"24,63,265.81","16,96,758.21"
,,
PUTHRI,"8,76,010.98","5,99,483.00"
,,
RAOLIKALAN,"68,00,039.62","33,88,786.00"
,,
REWADIREWDA,"21,96,716.60","18,06,143.00"
,,
ROSHANPURSALIMABADPATTIPRATAP,"25,45,685.59","18,45,568.00"
,,
SAHBISWA,"54,97,192.30","31,54,572.00"
,,
SARNAMURADNAGAR,"31,39,562.87","13,94,830.00"
,,
SAUNDA,"73,93,917.92","45,76,067.91"
,,
SHAHZADPUR,"16,29,288.63","9,01,128.00"
,,
SIKHAIDAHAJARI,"20,20,675.42","12,52,019.24"
,,
SUHANA,"66,81,519.70","25,95,949.00"
,,
SULTANPUR,"33,36,360.87","27,75,065.70"
,,
SURANA,"62,90,111.68","47,62,919.00"
,,
SUTHARI,"23,74,959.86","18,94,473.00"
,,
Total,"17,52,82,517.81","12,24,93,067.43"
