Village Panchayat & Equivalent,Receipts,Payments
,,
Afzalpur,"26,61,325.00","6,02,895.00"
,,
AllipurNoraspur,"16,09,521.50","15,45,834.00"
,,
AsalatpurFarakhNagar,"1,04,02,155.82","97,63,602.00"
,,
AurangabadRistal,"59,49,514.12","34,16,455.00"
,,
Badarpur,"36,14,864.69","29,29,047.00"
,,
BhaneraKhurd,"18,99,164.53","14,95,857.00"
,,
Chirori,"91,90,216.00","75,85,541.00"
,,
Ganauli,"70,49,868.00","26,66,377.00"
,,
Kotwalpur,"12,25,201.00","11,20,453.00"
,,
Madaula,"86,79,342.00","70,46,852.00"
,,
Mahmoodpur,"25,19,168.46","15,21,944.00"
,,
MewalaBhatti,"21,22,495.13","15,89,554.00"
,,
MirpurHindu,"32,47,067.85","32,34,175.00"
,,
MurtazabadBhoopkheri,"27,56,187.02","22,37,421.00"
,,
Nanu,"17,48,555.24","14,40,998.00"
,,
Nithaura,"20,79,696.09","17,68,069.00"
,,
NurstabadKharkhari,"34,56,987.95","23,25,915.00"
,,
Panchayara,"17,79,752.39","16,70,595.00"
,,
ShakalPura,"28,64,860.24","22,12,247.00"
,,
SharifabadRajapur,"25,26,235.50","21,47,982.00"
,,
Sirauli,"57,87,750.94","46,70,719.00"
,,
SiroraSalempur,"26,97,814.76","23,29,910.00"
,,
Total,"8,58,67,744.23","6,53,22,442.00"
