Village Panchayat & Equivalent,Receipts,Payments
,,
AbidpurManiki,"26,44,460.00","22,48,146.00"
,,
Ataur,"25,67,285.98","14,37,582.00"
,,
Bahadurpur,"13,56,007.33","12,28,908.00"
,,
Bhikkanpur,"45,24,422.96","26,35,444.00"
,,
Bhowapur,"27,90,210.62","15,74,186.00"
,,
Chitora,"12,59,898.69","10,59,000.00"
,,
DasnaDehat,"3,85,91,962.03","3,28,38,890.00"
,,
DausaBanjarpur,"30,62,170.20","29,09,882.00"
,,
DinanathpurPuthi,"23,33,012.40","20,97,746.00"
,,
Inayatpur,"16,34,354.17","9,37,561.93"
,,
Jalalabad,"63,55,485.60","47,93,511.00"
,,
Kajampur,"14,13,864.17","10,38,060.00"
,,
Kanauja,"42,70,485.43","39,34,544.50"
,,
Kushaliya,"45,56,589.76","39,12,252.74"
,,
Makraida,"22,70,293.20","19,68,797.60"
,,
Masauta,"21,78,450.94","17,66,095.00"
,,
Masuri,"1,69,24,492.26","1,65,21,021.88"
,,
Mathurapur,"16,43,485.33","10,26,679.00"
,,
Matiyala,"14,33,384.50","12,26,183.00"
,,
Morti,"12,95,990.92","10,51,022.00"
,,
MuhiddinpurDabarsi,"51,03,385.42","38,85,346.00"
,,
NaglaFirojMohanpur,"26,65,553.00","25,88,261.00"
,,
Nahal,"1,32,60,164.25","1,29,83,632.00"
,,
Nidori,"35,18,679.00","28,49,831.00"
,,
Nigrawati,"12,12,773.40","6,75,972.00"
,,
Noorpur,"59,65,319.40","57,51,286.55"
,,
RaghunathPur,"12,55,837.70","8,14,349.40"
,,
RasulpurSikrod,"72,61,360.32","63,96,451.98"
,,
SadatNagarIkla,"22,69,024.53","15,17,511.91"
,,
Samaypur,"19,82,817.35","17,79,047.00"
,,
ShahpurNijMorta,"24,41,386.35","23,28,379.00"
,,
Shamsher,"12,63,069.55","10,53,244.00"
,,
SikriKalan,"36,23,861.00","33,46,485.00"
,,
YusufpurManota,"14,91,142.00","7,26,734.00"
,,
Total,"15,64,20,679.76","13,29,02,043.49"
