Village Panchayat & Equivalent,Receipts,Payments
,,
Afzalpur,"23,02,347.00","16,26,579.00"
,,
Agraula,"23,86,119.97","19,77,199.00"
,,
AllipurNoraspur,"21,26,138.50","16,18,749.00"
,,
AsalatpurFarakhNagar,"1,10,06,353.82","79,07,886.00"
,,
AurangabadRistal,"27,98,400.12","20,45,216.00"
,,
Badarpur,"37,19,351.69","31,48,715.00"
,,
Banthla,"33,80,981.10","28,36,012.00"
,,
BhaneraKhurd,"17,29,594.53","12,31,040.00"
,,
Chirori,"52,93,982.00","33,45,075.00"
,,
Ganauli,"50,87,004.00","21,04,390.00"
,,
HaqiqatpurUrfKhudawas,"1,08,63,747.00","1,01,78,729.00"
,,
Ilaichipur,"88,33,808.80","84,38,317.00"
,,
Javli,"47,68,683.16","47,35,579.00"
,,
KhanpurJapti,"14,44,752.70","12,10,326.00"
,,
Kotwalpur,"12,74,746.00","10,73,577.00"
,,
Madaula,"74,48,624.00","61,87,903.00"
,,
Mahmoodpur,"20,35,470.46","18,21,602.00"
,,
MewalaBhatti,"24,35,948.13","21,75,987.00"
,,
MirpurHindu,"32,13,200.85","24,94,577.00"
,,
MurtazabadBhoopkheri,"21,41,830.02","17,49,909.00"
,,
Nanu,"36,81,636.24","29,82,654.00"
,,
Nistauli,"26,94,616.00","20,74,979.00"
,,
Nithaura,"25,24,145.09","21,42,151.00"
,,
NurstabadKharkhari,"23,92,851.95","18,72,238.00"
,,
Panchayara,"24,95,566.39","21,16,269.00"
,,
SadabadDugravali,"9,83,913.35","7,61,782.00"
,,
ShakalPura,"22,29,129.24","15,95,251.00"
,,
SharifabadRajapur,"29,68,701.50","24,93,909.00"
,,
Sikhrani,"10,66,660.30","9,63,444.00"
,,
Sirauli,"38,11,084.94","25,76,813.00"
,,
SiroraSalempur,"24,35,727.76","10,59,641.00"
,,
TilaShahbazpur,"64,94,453.98","47,89,722.00"
,,
Total,"11,80,69,570.59","9,33,36,220.00"
