Village Panchayat & Equivalent,Receipts,Payments
,,
AbidpurManiki,"28,46,629.00","28,35,441.00"
,,
Ataur,"26,93,327.98","26,93,165.00"
,,
Bahadurpur,"13,12,842.33","13,12,327.00"
,,
Bhikkanpur,"53,26,470.92","53,00,128.00"
,,
Bhowapur,"25,63,673.62","25,61,888.00"
,,
Chitora,"11,67,970.89","11,43,584.00"
,,
DasnaDehat,"3,73,12,718.03","3,54,81,434.00"
,,
DausaBanjarpur,"46,59,663.20","46,38,729.00"
,,
DinanathpurPuthi,"19,18,652.31","19,18,429.00"
,,
Inayatpur,"11,21,177.48","11,20,974.00"
,,
Jalalabad,"87,80,011.60","87,33,769.00"
,,
Kajampur,"13,93,269.17","13,91,740.00"
,,
Kanauja,"34,25,102.23","34,24,753.00"
,,
Kushaliya,"42,61,618.69","42,58,897.00"
,,
Makraida,"19,48,567.60","19,46,240.00"
,,
Masauta,"14,58,087.94","14,20,794.00"
,,
Masuri,"1,69,21,298.38","1,69,16,166.00"
,,
Mathurapur,"16,65,807.73","16,64,236.00"
,,
Matiyala,"13,36,886.50","13,36,630.00"
,,
Morti,"11,75,518.30","11,26,906.00"
,,
MuhiddinpurDabarsi,"49,45,748.42","48,98,328.00"
,,
NaglaFirojMohanpur,"37,16,122.00","37,14,668.00"
,,
Nahal,"1,29,37,750.25","1,29,34,225.00"
,,
Nidori,"34,91,753.00","34,53,612.00"
,,
Nigrawati,"10,95,038.40","10,93,693.00"
,,
Noorpur,"23,83,995.15","23,73,788.00"
,,
RaghunathPur,"32,65,212.12","32,61,487.00"
,,
RasulpurSikrod,"42,00,003.34","41,88,043.00"
,,
SadatNagarIkla,"27,45,051.62","27,40,893.00"
,,
Samaypur,"20,91,624.35","19,79,879.00"
,,
ShahpurNijMorta,"29,36,865.35","29,22,969.00"
,,
Shamsher,"15,65,391.55","15,53,478.00"
,,
YusufpurManota,"30,37,876.00","26,97,434.00"
,,
Total,"15,17,01,725.45","14,90,38,727.00"
