Village Panchayat & Equivalent,Receipts,Payments
,,
AmipurBadayala,"17,91,450.00","9,71,458.00"
,,
Amrala,"44,57,374.31","30,20,919.00"
,,
Atrauli,"28,47,720.58","25,70,605.00"
,,
AurangabadDateri,"13,69,182.85","9,83,687.00"
,,
AurangabadFazalgarh,"39,38,653.00","18,31,504.00"
,,
AurangabadGadana,"68,47,167.00","55,61,195.00"
,,
Bakharva,"46,75,380.00","34,63,907.00"
,,
Bhadaula,"17,26,981.00","15,76,156.00"
,,
Bhatjan,"36,73,662.00","22,07,582.00"
,,
Bhojpur,"1,36,13,603.60","1,04,83,190.00"
,,
Churiyala,"41,30,215.00","28,86,016.00"
,,
HirdaipurMadaula,"36,42,986.00","19,91,574.00"
,,
IshaqNagar,"25,15,217.00","22,99,391.00"
,,
Jahangirpur,"24,09,797.00","23,44,779.00"
,,
Joya,"10,18,638.00","8,81,888.00"
,,
Kalchhina,"1,18,79,222.00","82,12,581.00"
,,
Kanakpur,"9,52,748.87","6,79,135.00"
,,
Khanjarpur,"42,31,032.00","37,17,718.00"
,,
KilhaudaRaghunathpur,"43,28,597.00","40,14,976.00"
,,
LalifpurTibra,"45,54,876.00","34,40,352.00"
,,
Machhri,"17,18,604.00","9,28,361.00"
,,
MakarmatpurSikhera,"19,24,866.00","10,32,174.00"
,,
Mohd.Pur.SujanpurAkhara,"21,61,356.11","8,59,182.00"
,,
Moradabad,"26,28,937.00","7,81,086.00"
,,
Mukimpur,"59,00,151.00","51,45,636.00"
,,
NagalaMusa,"17,47,368.00","13,46,287.00"
,,
NagaulaAmirpur,"20,95,924.00","17,45,948.00"
,,
Nahali,"51,77,366.00","40,36,607.00"
,,
Patti,"19,38,838.00","16,69,667.00"
,,
Phaphrana,"18,12,380.00","7,33,255.00"
,,
Rori,"85,42,585.00","59,58,435.00"
,,
SaidpurHusainpurDeelna,"75,42,190.00","60,97,826.00"
,,
Sara,"99,07,409.00","42,87,938.00"
,,
Shahjahanpur,"19,44,250.00","11,18,890.00"
,,
Shakurpur,"18,83,728.00","4,25,966.00"
,,
Shamli,"23,80,809.97","16,70,993.00"
,,
Sherpur,"37,93,134.00","7,02,819.00"
,,
Talehaita,"44,53,026.00","31,28,115.00"
,,
Tauri13Biswa,"63,40,396.56","32,93,998.00"
,,
Tauri7Biswa,"52,92,001.00","40,29,830.00"
,,
YakutpurMavi,"16,82,704.00","10,83,592.00"
,,
YusufpurIsapur,"15,95,217.19","10,13,684.00"
,,
YusufpurNaglabair,"24,19,794.00","19,47,084.00"
,,
Total,"16,94,87,538.04","11,61,75,986.00"
