Village Panchayat & Equivalent,Receipts,Payments
,,
Abupur,"66,11,708.12","65,90,773.00"
,,
AsadpurNagal,"8,70,079.41","8,69,753.00"
,,
AsifpurUjaira,"18,41,079.90","18,40,974.00"
,,
Bandipur,"9,76,542.48","9,49,466.00"
,,
BarakaArifpur,"15,95,610.69","15,89,775.00"
,,
BasantpurSaitli,"85,29,491.92","84,92,100.00"
,,
Bhadauli,"12,90,063.70","12,69,087.00"
,,
Bhanaira,"25,60,585.39","25,60,554.00"
,,
Dabana,"18,27,519.03","18,24,731.00"
,,
Didauli,"23,85,561.74","23,73,467.00"
,,
Firozpur,"9,09,298.04","8,85,958.00"
,,
Gyaspur,"17,84,973.39","17,27,547.00"
,,
Husainpur,"14,09,359.30","14,04,356.00"
,,
JalalpurDindhal,"16,98,448.24","15,41,647.00"
,,
Jhalawa,"10,35,615.60","10,21,635.00"
,,
Kakra,"17,97,947.80","17,57,206.00"
,,
KharjivanpurKhimawati,"34,43,451.60","33,99,732.00"
,,
Khindaura,"44,62,994.06","44,03,659.00"
,,
KhorajpurBihang,"74,95,116.98","14,23,420.00"
,,
Khurrampur,"26,24,111.42","26,08,428.00"
,,
Kumhaida,"40,37,035.82","22,15,912.00"
,,
Kunhaida,"37,26,920.28","37,26,884.00"
,,
Manauli,"13,64,978.69","13,29,691.00"
,,
Mataur,"13,31,174.08","13,07,986.00"
,,
MilakChakarpur,"11,98,233.84","11,92,524.00"
,,
MilakRavali,"11,72,582.00","10,54,809.00"
,,
MohammadpurDwedha,"43,67,735.00","43,66,363.00"
,,
MohammadpurKadim,"35,59,585.66","35,58,147.00"
,,
MuhiuddinpurHisauli,"18,63,041.78","18,19,007.00"
,,
MuradgamPurPursi,"29,14,723.00","28,50,171.00"
,,
NaglaAkkhu,"25,49,647.70","25,47,885.00"
,,
NekpurSabitnagar,"42,14,419.64","42,01,829.00"
,,
Painga,"16,98,407.60","16,87,585.00"
,,
Puthri,"7,72,352.96","7,67,748.00"
,,
RaoliKalan,"35,72,025.62","35,59,451.00"
,,
RewadiRewda,"21,96,133.60","21,84,380.00"
,,
RoshanpurSalimabadPattiPratap,"24,23,062.00","24,19,489.00"
,,
Saunda,"51,96,940.46","48,20,517.00"
,,
Shahzadpur,"17,69,645.63","17,60,344.00"
,,
SikhaidaHajari,"17,03,553.18","16,60,248.00"
,,
Suhana,"29,28,963.00","29,23,849.00"
,,
Sultanpur,"32,97,922.35","32,88,865.00"
,,
Surana,"65,38,929.02","65,37,402.00"
,,
Suthari,"37,70,301.07","39,40,593.00"
,,
Total,"12,33,17,872.79","11,42,55,947.00"
