Village Panchayat & Equivalent,Receipts,Payments
,,
AMIPURBADAYALA,"20,63,653.00","13,19,244.00"
,,
AMRALA,"68,54,611.31","49,11,847.00"
,,
ATRAULI,"53,65,556.37","47,03,882.00"
,,
AURANGABADDATERI,"13,82,105.81","7,08,413.00"
,,
AURANGABADFAZALGARH,"53,18,241.00","38,43,993.00"
,,
AURANGABADGADANA,"1,74,13,234.00","1,63,52,278.00"
,,
BAKHARVA,"1,70,46,851.00","1,39,64,670.00"
,,
BEGMABADBUDANA,"7,28,40,354.00","6,15,84,033.00"
,,
BHADAULA,"26,16,143.00","22,89,851.00"
,,
BHATJAN,"56,04,307.00","47,55,007.00"
,,
BHOJPUR,"97,76,736.60","74,15,571.00"
,,
BISOKHAR,"2,11,16,204.00","1,87,36,472.00"
,,
CHURIYALA,"1,35,53,403.00","1,19,43,628.00"
,,
HIRDAIPURMADAULA,"39,51,481.00","36,82,522.00"
,,
ISHAQNAGAR,"34,62,692.00","22,88,747.00"
,,
JAHANGIRPUR,"30,88,888.00","19,76,957.00"
,,
JOYA,"19,36,989.00","15,09,497.00"
,,
KALCHHINA,"3,60,62,533.00","2,96,83,484.00"
,,
KANAKPUR,"22,95,925.00","15,27,866.00"
,,
KHANJARPUR,"58,98,323.25","43,80,865.00"
,,
KILHAUDARAGHUNATHPUR,"50,19,563.00","38,17,402.00"
,,
LALIFPURTIBRA,"22,71,089.00","20,56,988.00"
,,
MACHHRI,"39,49,092.00","35,54,619.00"
,,
MAKARMATPURSIKHERA,"33,53,745.00","27,02,395.00"
,,
MOHD.PUR.SUJANPURAKHARA,"48,41,675.11","37,77,264.00"
,,
MORADABAD,"38,83,288.00","26,31,054.00"
,,
MUKIMPUR,"1,35,47,654.00","1,12,65,924.00"
,,
NAGALAMUSA,"50,85,471.00","38,95,037.00"
,,
NAGAULAAMIRPUR,"21,56,142.00","14,23,453.00"
,,
NAHALI,"56,90,464.00","40,78,058.00"
,,
PATTI,"39,08,240.00","30,37,361.00"
,,
PHAPHRANA,"23,29,377.00","16,45,965.00"
,,
QUADRABAD,"59,96,128.00","34,46,393.00"
,,
RORI,"1,27,29,950.00","80,61,747.00"
,,
SAIDPURHUSAINPURDEELNA,"1,04,23,995.00","78,83,941.00"
,,
SARA,"1,48,30,206.00","1,16,96,475.00"
,,
SHAHJAHANPUR,"17,40,295.00","10,82,212.00"
,,
SHAKURPUR,"36,65,550.00","25,46,617.00"
,,
SHAMLI,"33,41,741.97","24,60,439.00"
,,
SHERPUR,"62,94,333.00","33,79,562.00"
,,
SIKRIKHURD,"1,13,85,935.00","92,73,345.00"
,,
TALEHAITA,"52,99,950.00","35,53,616.00"
,,
TAURI13BISWA,"81,33,647.56","69,50,963.00"
,,
TAURI7BISWA,"44,98,877.00","23,05,587.00"
,,
YAKUTPURMAVI,"19,68,440.00","16,79,598.00"
,,
YUSUFPURISAPUR,"20,37,573.19","15,26,257.00"
,,
YUSUFPURNAGLABAIR,"23,56,824.00","22,57,473.00"
,,
Total,"38,83,87,477.17","30,95,68,572.00"
