Village Panchayat & Equivalent,Receipts,Payments
,,
ABIDPURMANIKI,"31,49,312.00","14,74,416.00"
,,
ATAUR,"49,28,994.21","42,72,275.23"
,,
BAHADURPUR,"18,84,378.00","15,69,679.00"
,,
BHIKKANPUR,"53,24,313.96","39,71,068.00"
,,
BHOWAPUR,"38,24,648.14","32,99,171.52"
,,
CHITORA,"27,23,703.87","26,55,601.18"
,,
DASNADEHAT,"5,08,80,350.31","4,29,56,269.72"
,,
DAUSABANJARPUR,"40,60,265.20","32,22,921.00"
,,
DINANATHPURPUTHI,"26,24,308.28","21,63,363.48"
,,
INAYATPUR,"16,79,261.24","8,35,653.00"
,,
JALALABAD,"1,16,27,765.60","1,00,52,052.00"
,,
KAJAMPUR,"15,59,188.17","10,16,662.00"
,,
KANAUJA,"56,25,185.00","45,19,508.00"
,,
KUSHALIYA,"73,54,490.76","46,51,752.00"
,,
MAKRAIDA,"24,55,091.60","17,96,738.00"
,,
MASAUTA,"17,80,467.94","12,42,345.00"
,,
MASURI,"1,92,90,422.63","1,53,25,922.00"
,,
MATHURAPUR,"33,77,711.65","30,23,821.00"
,,
MATIYALA,"16,48,873.00","12,94,308.00"
,,
MORTI,"15,63,500.00","12,24,313.00"
,,
MUHIDDINPURDABARSI,"94,17,183.92","90,23,126.50"
,,
NAGLAFIROJMOHANPUR,"42,93,638.52","37,20,151.52"
,,
NAHAL,"1,62,03,526.00","1,09,45,359.00"
,,
NIDORI,"49,55,615.00","39,43,020.00"
,,
NIGRAWATI,"34,06,243.40","31,71,462.00"
,,
NOORPUR,"56,99,227.00","51,06,183.00"
,,
RAGHUNATHPUR,"15,88,914.82","10,26,809.00"
,,
RASULPURSIKROD,"69,89,860.12","49,41,215.00"
,,
SADATNAGARIKLA,"32,95,107.23","25,13,110.00"
,,
SAMAYPUR,"29,81,051.25","23,21,834.00"
,,
SHAHPURNIJMORTA,"61,08,453.35","49,79,680.00"
,,
SHAMSHER,"21,62,468.80","18,22,960.25"
,,
SIKRIKALAN,"69,70,788.00","50,27,444.00"
,,
YUSUFPURMANOTA,"31,26,126.00","25,06,413.00"
,,
Total,"21,45,60,434.97","17,16,16,606.40"
