Village Panchayat & Equivalent,Receipts,Payments
,,
AmipurBadayala,"16,60,092.00","11,23,329.00"
,,
Amrala,"34,10,731.31","22,89,601.00"
,,
Atrauli,"36,57,425.58","34,50,497.62"
,,
AurangabadDateri,"13,59,904.81","11,20,947.96"
,,
AurangabadFazalgarh,"40,10,187.00","28,14,457.00"
,,
AurangabadGadana,"68,23,614.00","33,61,809.00"
,,
Bakharva,"56,31,643.00","40,61,447.00"
,,
BegmabadBudana,"1,38,89,884.00","1,09,67,328.00"
,,
Bhadaula,"14,94,470.00","10,01,838.00"
,,
Bhatjan,"50,23,018.00","38,93,551.00"
,,
Bhojpur,"78,33,800.60","27,61,698.00"
,,
Bisokhar,"96,42,553.00","96,09,319.00"
,,
Churiyala,"53,56,451.00","39,18,421.00"
,,
HirdaipurMadaula,"22,47,391.00","20,30,238.00"
,,
IshaqNagar,"21,26,488.00","14,05,810.00"
,,
Jahangirpur,"23,26,335.00","20,69,570.00"
,,
Joya,"11,25,467.00","9,03,186.00"
,,
Kalchhina,"1,40,38,779.00","1,27,34,411.00"
,,
Kanakpur,"14,16,689.87","13,43,837.00"
,,
Khanjarpur,"48,31,442.25","24,63,859.00"
,,
KilhaudaRaghunathpur,"29,45,187.00","16,70,923.00"
,,
LalifpurTibra,"33,22,092.00","16,14,460.00"
,,
Machhri,"17,06,870.00","12,71,619.00"
,,
MakarmatpurSikhera,"21,17,777.00","12,77,358.00"
,,
Mohd.Pur.SujanpurAkhara,"28,59,643.11","23,26,371.00"
,,
Moradabad,"31,10,906.00","20,96,607.00"
,,
Mukimpur,"43,94,694.00","35,75,102.00"
,,
NagalaMusa,"16,03,521.00","11,93,660.00"
,,
NagaulaAmirpur,"22,38,069.00","18,52,410.00"
,,
Nahali,"47,46,671.00","35,58,041.00"
,,
Patti,"21,20,196.00","21,01,736.00"
,,
Phaphrana,"23,05,940.00","14,57,213.00"
,,
Quadrabad,"63,39,501.00","44,96,627.00"
,,
Rori,"1,19,16,253.00","1,00,95,111.00"
,,
SaidpurHusainpurDeelna,"97,12,527.00","85,22,027.00"
,,
Sara,"75,09,167.00","33,49,326.00"
,,
Shahjahanpur,"21,76,679.00","19,50,720.00"
,,
Shakurpur,"20,55,234.00","14,81,714.00"
,,
Shamli,"19,94,321.97","14,31,513.00"
,,
Sherpur,"41,17,884.00","15,41,156.00"
,,
SikriKhurd,"36,23,714.00","36,23,702.00"
,,
Talehaita,"49,07,442.00","43,43,445.00"
,,
Tauri13Biswa,"64,59,718.56","57,97,091.00"
,,
Tauri7Biswa,"52,10,988.00","24,74,674.00"
,,
YakutpurMavi,"17,51,702.00","15,12,411.00"
,,
YusufpurIsapur,"16,70,140.19","13,72,173.00"
,,
YusufpurNaglabair,"20,81,583.00","17,20,359.00"
,,
Total,"20,29,04,787.25","15,10,32,703.58"
