Village Panchayat & Equivalent,Receipts,Payments
,,
Abupur,"56,53,574.12","49,21,239.00"
,,
AsadpurNagal,"12,46,683.41","11,84,489.00"
,,
AsifpurUjaira,"27,18,970.90","25,32,776.00"
,,
Bandipur,"11,38,682.48","9,80,057.00"
,,
BarakaArifpur,"17,14,526.69","15,77,031.00"
,,
BasantpurSaitli,"75,06,986.12","38,17,173.00"
,,
Bhadauli,"19,61,699.70","16,99,312.00"
,,
Bhanaira,"26,01,134.49","25,85,838.10"
,,
Dabana,"23,70,291.03","23,65,636.00"
,,
Didauli,"41,84,823.74","41,33,866.00"
,,
Firozpur,"12,09,344.04","11,80,283.00"
,,
Gyaspur,"29,98,741.39","25,47,225.00"
,,
Husainpur,"16,72,612.30","15,86,904.00"
,,
JalalpurDindhal,"49,96,208.24","48,60,475.00"
,,
Jhalawa,"16,20,475.60","13,76,697.00"
,,
Kakra,"22,10,352.80","20,16,322.00"
,,
KharjivanpurKhimawati,"36,54,941.60","30,83,070.00"
,,
Khindaura,"57,94,844.06","51,95,618.00"
,,
KhorajpurBihang,"81,50,294.98","20,82,325.00"
,,
Khurrampur,"30,42,469.42","24,99,741.00"
,,
Kumhaida,"65,60,755.82","47,33,237.00"
,,
Kunhaida,"21,30,496.26","19,83,166.98"
,,
Manauli,"16,60,256.69","15,73,937.00"
,,
Mataur,"18,00,831.08","14,28,649.00"
,,
MilakChakarpur,"14,81,051.84","11,79,699.00"
,,
MilakRavali,"10,78,706.00","9,44,272.00"
,,
MohammadpurDwedha,"37,51,404.85","21,32,236.00"
,,
MohammadpurKadim,"22,68,305.66","22,68,241.00"
,,
MuhiuddinpurHisauli,"10,75,511.12","6,12,442.00"
,,
MuradgamPurPursi,"56,76,351.00","56,32,347.00"
,,
NaglaAkkhu,"17,18,991.70","17,15,063.00"
,,
NekpurSabitnagar,"58,30,955.64","55,55,667.00"
,,
Painga,"24,45,173.60","24,35,485.00"
,,
Puthri,"12,61,624.96","12,32,388.00"
,,
RaoliKalan,"42,34,523.62","41,91,566.00"
,,
RewadiRewda,"26,80,231.60","25,47,553.00"
,,
RoshanpurSalimabadPattiPratap,"22,58,109.59","22,02,117.59"
,,
Saunda,"57,13,705.46","53,38,761.00"
,,
Shahzadpur,"21,98,895.63","17,89,732.00"
,,
SikhaidaHajari,"23,43,649.18","21,56,117.00"
,,
Suhana,"41,88,204.00","41,82,692.00"
,,
Sultanpur,"41,51,964.35","25,36,995.00"
,,
Surana,"88,90,833.02","82,31,097.00"
,,
Suthari,"24,50,631.07","22,95,452.00"
,,
Total,"14,42,98,820.85","12,11,24,989.67"
