Village Panchayat & Equivalent,Receipts,Payments
,,
AbidpurManiki,"34,19,432.00","24,52,357.00"
,,
Ataur,"36,29,715.98","28,22,048.00"
,,
Bahadurpur,"14,36,453.33","13,59,806.00"
,,
Bhikkanpur,"49,82,339.96","43,90,998.00"
,,
Bhowapur,"35,61,726.62","35,56,400.00"
,,
Chitora,"9,14,755.49","8,79,276.00"
,,
DasnaDehat,"4,36,10,323.03","3,38,23,308.00"
,,
DausaBanjarpur,"35,19,536.20","34,48,870.00"
,,
DinanathpurPuthi,"22,57,005.40","21,47,311.00"
,,
Inayatpur,"18,51,913.24","16,13,615.00"
,,
Jalalabad,"79,61,381.60","69,32,738.00"
,,
Kajampur,"18,99,338.17","17,28,191.00"
,,
Kanauja,"44,27,445.93","41,10,995.00"
,,
Kushaliya,"49,95,578.02","46,86,846.33"
,,
Makraida,"23,35,056.60","20,11,408.00"
,,
Masauta,"20,98,380.94","13,77,173.00"
,,
Masuri,"1,65,67,211.38","1,59,77,250.00"
,,
Mathurapur,"21,46,871.33","14,66,862.00"
,,
Matiyala,"30,95,155.50","28,75,662.00"
,,
Morti,"13,97,146.92","8,55,752.00"
,,
MuhiddinpurDabarsi,"60,16,267.42","53,90,606.00"
,,
NaglaFirojMohanpur,"25,36,266.00","24,24,036.00"
,,
Nahal,"1,50,89,553.25","1,22,10,758.00"
,,
Nidori,"48,35,056.00","41,84,087.00"
,,
Nigrawati,"16,96,309.40","13,74,697.00"
,,
Noorpur,"33,66,772.15","33,55,523.00"
,,
RaghunathPur,"15,74,071.30","15,16,244.00"
,,
RasulpurSikrod,"54,29,158.34","47,32,294.00"
,,
SadatNagarIkla,"29,19,169.62","22,49,376.00"
,,
Samaypur,"16,85,959.35","16,79,304.00"
,,
ShahpurNijMorta,"26,16,553.35","23,53,377.00"
,,
Shamsher,"14,71,292.00","14,66,635.45"
,,
YusufpurManota,"21,61,062.00","15,29,042.00"
,,
Total,"16,75,04,257.82","14,29,82,845.78"
