Village Panchayat & Equivalent,Receipts,Payments
,,
Afzalpur,"39,92,102.00","30,29,381.00"
,,
AllipurNoraspur,"20,49,175.50","19,52,609.00"
,,
AsalatpurFarakhNagar,"1,41,05,472.82","1,31,23,159.00"
,,
AurangabadRistal,"53,16,896.12","40,45,834.00"
,,
Badarpur,"38,81,044.69","32,05,701.00"
,,
BhaneraKhurd,"13,42,288.53","7,89,071.00"
,,
Chirori,"80,69,003.00","77,40,565.00"
,,
Ganauli,"1,04,33,824.00","64,88,342.00"
,,
Kotwalpur,"10,44,593.00","6,16,759.00"
,,
Madaula,"85,00,253.00","79,88,293.00"
,,
Mahmoodpur,"29,76,692.46","26,42,422.32"
,,
MewalaBhatti,"26,07,448.13","23,82,989.00"
,,
MirpurHindu,"31,44,185.85","31,43,220.00"
,,
MurtazabadBhoopkheri,"28,93,979.02","25,16,201.00"
,,
Nanu,"15,14,084.24","9,88,144.00"
,,
Nithaura,"34,48,683.09","33,27,299.00"
,,
NurstabadKharkhari,"56,64,757.95","55,20,318.00"
,,
Panchayara,"21,16,225.39","17,79,773.30"
,,
ShakalPura,"24,12,220.24","13,31,492.24"
,,
SharifabadRajapur,"40,21,074.50","38,75,164.00"
,,
Sirauli,"72,30,327.88","70,25,707.00"
,,
SiroraSalempur,"25,48,212.76","19,40,752.00"
,,
Total,"9,93,12,544.17","8,54,53,195.86"
,,
Back,,
