Village Panchayat & Equivalent,Receipts,Payments
,,
Afzalpur,"33,03,525.00","32,98,978.00"
,,
AllipurNoraspur,"15,05,590.50","14,81,417.00"
,,
AsalatpurFarakhNagar,"87,30,383.82","83,49,013.00"
,,
AurangabadRistal,"34,28,251.12","25,07,420.00"
,,
Badarpur,"29,96,950.69","29,92,663.00"
,,
BhaneraKhurd,"16,23,704.64","16,15,617.00"
,,
Chirori,"44,43,359.00","44,20,206.00"
,,
Ganauli,"65,95,262.00","46,49,254.00"
,,
Kotwalpur,"16,52,353.00","16,50,586.00"
,,
Madaula,"77,33,387.00","77,31,458.00"
,,
Mahmoodpur,"20,67,994.14","20,67,994.00"
,,
MewalaBhatti,"18,71,297.13","16,63,469.00"
,,
MirpurHindu,"26,95,996.85","26,95,619.00"
,,
MurtazabadBhoopkheri,"23,53,588.02","23,53,475.00"
,,
Nanu,"12,35,008.24","12,17,439.00"
,,
Nithaura,"71,95,801.09","47,29,821.00"
,,
NurstabadKharkhari,"23,11,677.95","22,83,571.00"
,,
Panchayara,"18,64,740.09","18,61,528.00"
,,
ShakalPura,"33,98,863.00","33,95,488.00"
,,
SharifabadRajapur,"27,05,369.50","27,03,798.00"
,,
Sirauli,"36,11,527.88","35,56,731.00"
,,
SiroraSalempur,"23,89,895.76","23,79,675.00"
,,
Total,"7,57,14,526.42","6,96,05,220.00"
