Village Panchayat & Equivalent,Receipts,Payments
,,
AmipurBadayala,"33,41,435.00","28,36,644.00"
,,
Amrala,"36,31,140.31","30,25,656.00"
,,
Atrauli,"50,77,502.58","47,53,378.00"
,,
AurangabadDateri,"16,39,098.85","14,34,003.00"
,,
AurangabadFazalgarh,"85,94,916.00","63,27,268.00"
,,
AurangabadGadana,"57,86,728.00","56,90,855.00"
,,
Bakharva,"73,02,788.00","62,78,437.00"
,,
Bhadaula,"14,46,346.00","13,72,620.00"
,,
Bhatjan,"38,08,883.00","34,90,079.00"
,,
Bhojpur,"85,44,772.60","83,96,060.00"
,,
Churiyala,"75,33,944.00","71,00,707.00"
,,
HirdaipurMadaula,"54,32,741.00","51,99,711.00"
,,
IshaqNagar,"21,63,205.07","19,61,452.00"
,,
Jahangirpur,"19,75,835.00","16,75,836.00"
,,
Joya,"14,32,261.00","13,57,865.00"
,,
Kalchhina,"2,08,23,282.00","1,99,78,678.00"
,,
Kanakpur,"15,76,434.90","15,14,154.00"
,,
Khanjarpur,"38,21,656.00","36,56,166.00"
,,
KilhaudaRaghunathpur,"29,73,100.00","21,90,106.00"
,,
LalifpurTibra,"38,01,441.00","32,70,014.00"
,,
Machhri,"22,35,106.00","20,91,143.00"
,,
MakarmatpurSikhera,"44,08,781.00","29,07,132.00"
,,
Mohd.Pur.SujanpurAkhara,"51,24,453.11","43,65,389.00"
,,
Moradabad,"32,66,098.00","22,27,775.00"
,,
Mukimpur,"52,50,223.00","49,18,013.00"
,,
NagalaMusa,"21,31,330.00","21,29,147.00"
,,
NagaulaAmirpur,"22,48,173.49","21,61,563.00"
,,
Nahali,"51,68,882.00","50,98,342.00"
,,
Patti,"26,11,630.00","23,85,866.00"
,,
Phaphrana,"31,40,708.00","25,89,764.00"
,,
Rori,"1,40,27,063.00","1,04,28,942.00"
,,
SaidpurHusainpurDeelna,"89,26,396.00","85,98,865.00"
,,
Sara,"1,05,14,507.00","57,23,707.00"
,,
Shahjahanpur,"27,77,738.00","24,30,158.00"
,,
Shakurpur,"34,92,453.00","34,52,783.00"
,,
Shamli,"26,07,679.97","25,48,977.00"
,,
Sherpur,"48,11,560.00","23,22,266.00"
,,
Talehaita,"51,55,013.00","35,38,088.00"
,,
Tauri13Biswa,"91,96,945.56","87,64,706.00"
,,
Tauri7Biswa,"44,69,379.00","32,05,248.00"
,,
YakutpurMavi,"26,12,501.00","24,73,340.00"
,,
YusufpurIsapur,"24,10,064.19","21,60,489.00"
,,
YusufpurNaglabair,"21,58,814.00","19,34,040.00"
,,
Total,"20,94,53,008.63","17,99,65,432.00"
