Village Panchayat & Equivalent,Receipts,Payments
,,
AbidpurManiki,"34,42,549.00","31,66,700.00"
,,
Ataur,"32,10,852.98","26,77,307.00"
,,
Bahadurpur,"14,29,684.33","12,91,634.00"
,,
Bhikkanpur,"66,08,688.92","51,08,698.00"
,,
Bhowapur,"23,40,379.62","17,16,220.00"
,,
Chitora,"10,72,592.49","6,10,342.60"
,,
DasnaDehat,"5,01,61,966.03","4,64,24,050.00"
,,
DausaBanjarpur,"31,38,058.20","30,15,491.00"
,,
DinanathpurPuthi,"22,02,887.31","20,98,576.00"
,,
Inayatpur,"14,57,049.48","12,28,382.00"
,,
Jalalabad,"79,98,515.60","76,49,638.00"
,,
Kajampur,"12,96,029.17","12,79,013.00"
,,
Kanauja,"41,69,536.93","39,92,928.00"
,,
Kushaliya,"45,61,671.69","45,30,518.00"
,,
Makraida,"24,26,601.60","24,03,336.00"
,,
Masauta,"20,16,331.94","18,06,523.00"
,,
Masuri,"1,73,33,877.38","1,68,13,722.00"
,,
Mathurapur,"22,61,836.33","20,37,998.00"
,,
Matiyala,"23,90,066.50","20,29,083.00"
,,
Morti,"18,75,994.92","17,59,485.00"
,,
MuhiddinpurDabarsi,"57,00,459.42","54,06,926.00"
,,
NaglaFirojMohanpur,"37,16,624.00","33,10,847.00"
,,
Nahal,"1,69,48,460.25","1,63,13,251.00"
,,
Nidori,"35,96,853.00","35,67,113.00"
,,
Nigrawati,"15,71,520.40","14,98,145.00"
,,
Noorpur,"33,16,530.15","29,47,064.00"
,,
RaghunathPur,"13,97,508.12","13,03,528.00"
,,
RasulpurSikrod,"52,18,715.34","49,48,251.00"
,,
SadatNagarIkla,"53,24,375.62","45,79,877.00"
,,
Samaypur,"39,65,693.35","31,78,286.00"
,,
ShahpurNijMorta,"28,50,839.35","21,78,012.00"
,,
Shamsher,"12,73,841.55","7,45,219.00"
,,
YusufpurManota,"17,19,873.00","12,01,573.00"
,,
Total,"17,79,96,463.97","16,28,17,736.60"
