Village Panchayat & Equivalent,Receipts,Payments
,,
AmipurBadayala,"17,31,968.00","16,87,878.00"
,,
Amrala,"32,51,684.31","28,21,771.00"
,,
Atrauli,"35,37,674.58","35,07,841.00"
,,
AurangabadDateri,"31,68,702.85","31,44,803.00"
,,
AurangabadFazalgarh,"53,03,052.00","50,63,439.00"
,,
AurangabadGadana,"42,99,500.00","42,98,153.00"
,,
Bakharva,"50,08,591.00","50,06,015.00"
,,
Bhadaula,"13,83,809.00","13,14,445.00"
,,
Bhatjan,"25,06,157.00","22,99,169.00"
,,
Bhojpur,"88,17,774.60","87,52,555.00"
,,
Churiyala,"52,23,267.00","51,96,259.00"
,,
HirdaipurMadaula,"34,10,744.00","27,61,553.00"
,,
IshaqNagar,"50,48,264.07","50,46,908.00"
,,
Jahangirpur,"25,69,960.00","25,26,085.00"
,,
Joya,"8,92,627.00","8,92,412.00"
,,
Kalchhina,"1,35,05,308.00","1,33,00,839.00"
,,
Kanakpur,"14,32,718.00","14,22,039.00"
,,
Khanjarpur,"27,98,036.00","27,87,178.00"
,,
KilhaudaRaghunathpur,"25,71,754.00","25,67,630.00"
,,
LalifpurTibra,"22,73,240.00","20,96,192.00"
,,
Machhri,"16,86,036.00","16,49,821.00"
,,
MakarmatpurSikhera,"35,01,505.00","29,88,508.00"
,,
Mohd.Pur.SujanpurAkhara,"28,82,346.11","27,69,282.00"
,,
Moradabad,"25,97,657.00","18,36,429.00"
,,
Mukimpur,"43,03,950.00","42,81,590.00"
,,
NagalaMusa,"14,15,729.00","14,15,452.00"
,,
NagaulaAmirpur,"16,68,211.49","16,68,198.98"
,,
Nahali,"46,15,926.00","38,21,736.00"
,,
Patti,"20,29,574.00","20,17,799.00"
,,
Phaphrana,"20,62,170.00","20,62,170.00"
,,
Rori,"77,34,027.00","77,20,914.00"
,,
SaidpurHusainpurDeelna,"85,64,447.00","85,60,312.00"
,,
Sara,"90,52,534.00","61,06,261.00"
,,
Shahjahanpur,"17,48,709.00","14,87,059.00"
,,
Shakurpur,"17,93,350.00","17,72,175.00"
,,
Shamli,"16,26,549.97","15,85,612.00"
,,
Sherpur,"37,15,494.00","36,38,144.00"
,,
Talehaita,"39,89,520.00","38,57,455.00"
,,
Tauri13Biswa,"56,96,177.56","56,10,146.00"
,,
Tauri7Biswa,"39,60,330.00","28,58,962.00"
,,
YakutpurMavi,"13,41,223.00","13,31,449.00"
,,
YusufpurIsapur,"14,60,782.19","13,83,609.00"
,,
YusufpurNaglabair,"20,31,243.00","19,67,853.00"
,,
Total,"15,82,12,322.73","14,88,84,100.98"
