Village Panchayat & Equivalent,Receipts,Payments
,,
Abupur,"45,09,816.12","37,01,952.00"
,,
AsadpurNagal,"14,01,329.41","9,01,169.00"
,,
AsalatNagar,"47,71,873.62","23,58,199.29"
,,
AsifpurUjaira,"23,84,514.90","12,94,527.00"
,,
Bandipur,"10,73,947.89","6,25,384.00"
,,
BarakaArifpur,"20,46,348.69","16,59,292.00"
,,
BasantpurSaitli,"39,93,266.92","21,69,520.00"
,,
Bhadauli,"24,16,894.82","12,31,950.36"
,,
Bhanaira,"32,85,471.49","25,12,994.00"
,,
Dabana,"22,76,345.01","20,49,093.00"
,,
Didauli,"40,45,551.54","37,28,963.80"
,,
Firozpur,"61,96,422.04","25,88,649.00"
,,
Gyaspur,"28,89,238.08","22,81,130.39"
,,
Husainpur,"14,82,226.30","13,84,231.00"
,,
JalalpurDindhal,"36,71,647.24","24,73,074.00"
,,
JalalpurRaghunathpur,"13,66,902.32","7,13,178.00"
,,
Jhalawa,"15,91,462.00","11,83,752.00"
,,
Kakra,"21,52,712.65","19,00,087.00"
,,
KharjivanpurKhimawati,"28,18,842.85","22,54,314.00"
,,
Khindaura,"67,68,989.82","54,04,007.82"
,,
KhorajpurBihang,"78,27,621.98","12,82,680.00"
,,
Khurrampur,"36,09,269.42","26,16,488.00"
,,
Kumhaida,"35,86,914.82","30,46,349.00"
,,
Kunhaida,"21,99,184.26","12,65,377.00"
,,
Manauli,"14,87,234.19","13,90,330.50"
,,
Mataur,"22,14,623.84","17,86,386.00"
,,
MilakChakarpur,"17,67,879.38","14,49,413.54"
,,
MilakRavali,"11,59,943.68","7,63,008.80"
,,
MohammadpurDwedha,"38,49,028.10","25,42,400.25"
,,
MohammadpurKadim,"20,61,105.66","13,68,162.00"
,,
MuhiuddinpurHisauli,"26,83,997.15","19,23,847.40"
,,
MuradgamPurPursi,"53,92,274.00","40,58,807.00"
,,
NaglaAkkhu,"14,97,185.70","9,90,395.00"
,,
NekpurSabitnagar,"49,92,304.96","32,80,528.00"
,,
Painga,"25,60,306.60","19,52,174.21"
,,
Puthri,"13,54,811.98","10,44,572.00"
,,
RaoliKalan,"62,79,725.62","52,69,756.20"
,,
RewadiRewda,"26,59,398.60","25,18,023.00"
,,
RoshanpurSalimabadPattiPratap,"29,36,865.59","24,17,106.00"
,,
Sahbiswa,"24,91,224.30","12,51,403.00"
,,
SarnaMuradNagar,"18,77,745.87","14,07,384.00"
,,
Saunda,"57,71,376.01","48,71,855.00"
,,
Shahzadpur,"18,70,420.63","9,44,830.00"
,,
SikhaidaHajari,"16,00,642.18","9,18,890.00"
,,
Suhana,"24,03,092.00","16,18,520.00"
,,
Sultanpur,"32,03,118.04","19,52,060.25"
,,
Surana,"69,48,871.68","59,69,801.00"
,,
Suthari,"18,71,751.07","12,93,445.00"
,,
Total,"14,93,01,721.02","10,36,09,459.81"
